src/services/data/demo/DemoDataProvider.ts(177,1): error TS1005: '}' expected.
src/services/data/factory.ts(1,2): error TS1109: Expression expected.
src/services/data/factory.ts(1,9): error TS1005: ';' expected.
src/services/data/factory.ts(1,18): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(1,30): error TS1005: '(' expected.
src/services/data/factory.ts(1,37): error TS1005: ';' expected.
src/services/data/factory.ts(2,2): error TS1003: Identifier expected.
src/services/data/factory.ts(3,2): error TS1109: Expression expected.
src/services/data/factory.ts(3,13): error TS1005: ';' expected.
src/services/data/factory.ts(4,2): error TS1109: Expression expected.
src/services/data/factory.ts(4,9): error TS1005: ';' expected.
src/services/data/factory.ts(4,13): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(4,17): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(4,26): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(5,2): error TS1109: Expression expected.
src/services/data/factory.ts(5,22): error TS1005: ';' expected.
src/services/data/factory.ts(6,2): error TS1003: Identifier expected.
src/services/data/factory.ts(6,15): error TS1005: ';' expected.
src/services/data/factory.ts(6,22): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(6,31): error TS1005: ';' expected.
src/services/data/factory.ts(6,43): error TS1005: '(' expected.
src/services/data/factory.ts(6,45): error TS1005: ';' expected.
src/services/data/factory.ts(6,54): error TS1005: ';' expected.
src/services/data/factory.ts(6,58): error TS1005: ')' expected.
src/services/data/factory.ts(7,15): error TS1005: ';' expected.
src/services/data/factory.ts(8,2): error TS1003: Identifier expected.
src/services/data/factory.ts(8,10): error TS1005: ';' expected.
src/services/data/factory.ts(8,17): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,26): error TS1228: A type predicate is only allowed in return type position for functions and methods.
src/services/data/factory.ts(8,29): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,36): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,41): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,44): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,48): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,56): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(8,61): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(9,27): error TS1005: ';' expected.
src/services/data/factory.ts(9,41): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(9,45): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(9,50): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(9,54): error TS1434: Unexpected keyword or identifier.
src/services/data/factory.ts(10,2): error TS1003: Identifier expected.
src/services/data/factory.ts(11,2): error TS1109: Expression expected.
src/services/data/factory.ts(11,14): error TS1005: ';' expected.
src/services/data/factory.ts(12,2): error TS1109: Expression expected.
src/services/data/factory.ts(12,17): error TS1127: Invalid character.
src/services/data/factory.ts(12,30): error TS1005: ';' expected.
src/services/data/factory.ts(12,43): error TS1135: Argument expression expected.
